Name, Sex,Birthplace, CityofBirth, State, Age, DOB,Ethnicity, SexualOrientation, Religion, AwardCategory, Movie, Year, NumberofAwards, Country
Cate Blanchett,Female,"Melbourne, Australia",NA,NA,36,5/14/1969,White,Straight,NA,Actor,The Aviator,2005,2,Australia
Clint Eastwood,Male,"San Francisco, California, United States","San Francisco, CA",California,75,5/31/1930,White,Straight,NA,Director,Million Dollar Baby,2005,2,United States
Hilary Swank,Female,"Lincoln, Nebraska, United States","Lincoln, NE",Nebraska,31,7/30/1974,White,Straight,NA,Actor,Million Dollar Baby,2005,2,United States
Jamie Foxx,Male,"Terrell, Texas, United States","Terrell, TX",Texas ,38,12/13/1967,Black,Straight,Baptist,Actor,Ray,2005,1,United States
Morgan Freeman,Male,"Memphis, Tennessee, United States","Memphis, TN",Tennessee,68,6/1/1937,Black,Straight,NA,Actor,Million Dollar Baby,2005,1,United States
Ang Lee,Male,"Pingtung, Taiwan",NA,NA,52,10/23/1954,Asian,Straight,NA,Director,Brokeback Mountain,2006,2,Taiwan
George Clooney,Male,"Lexington, Kentucky, United States","Lexington, KY",Kentucky,45,5/6/1961,White,Straight,NA,Actor,Syriana,2006,1,United States
Philip Seymour Hoffman,Male,"Fairport, New York, United States","Fairport, NY",New York,39,7/23/1967,White,Straight,NA,Actor,Capote,2006,1,United States
Rachel Weisz,Female,"London, United Kingdom",NA,NA,35,3/7/1971,White,Straight,Jewish,Actor,The Constant Gardener,2006,1,United Kingdom
Reese Witherspoon,Female,"New Orleans, Louisiana, United States","New Orleans, LA",Louisiaba,30,3/22/1976,White,Straight,NA,Actor,Walk the Line,2006,1,United States
Alan Arkin,Male,"Brooklyn, United States","New York City, NY",New York,73,3/26/1934,White,Straight,Jewish,Actor,Little Miss Sunshine,2007,1,United States
Forest Whitaker,Male,"Longview, Texas, United States","Longview, TX",Texas ,46,7/15/1961,Black,Straight,NA,Actor,The Last King of Scotland,2007,1,United States
Helen Mirren,Female,"Chiswick, United Kingdom",NA,NA,62,7/26/1945,White,Straight,NA,Actor,The Queen,2007,1,United Kingdom
Jennifer Hudson,Female,"Chicago, Illinois, United States","Chicago, IL",Illinois,26,9/12/1981,Black,Straight,Baptist,Actor,Dreamgirls,2007,1,United States
Martin Scorsese,Male,"Flushing, New York, United States","Flushing, NY",New York,65,11/17/1942,White,Straight,Roman Catholic,Director,The Departed,2007,1,United States
Tilda Swinton,Female,"London, United Kingdom",NA,NA,47,11/5/1960,White,Straight,NA,Actor,Michael Clayton,2007,1,United Kingdom
Daniel Day-Lewis,Male,"London, United Kingdom",NA,NA,51,4/29/1957,White,Straight,NA,Actor,There Will Be Blood,2008,3,United Kingdom
Ethan Coen,Male,"St. Louis Park, Minnesota, United States","St. Louis Park, MN",Minnesota,51,9/21/1957,White,Straight,Jewish,Director,No Country for Old Men,2008,1,United States
Javier Bardem,Male,"Las Palmas De Gran Canaria, Spain",NA,NA,39,3/1/1969,Hispanic,Straight,NA,Actor,No Country for Old Men,2008,1,Spain
Joel Coen,Male,"St. Louis Park, Minnesota, United States","St. Louis Park, MN",Minnesota,54,11/29/1954,White,Straight,Jewish,Director,No Country for Old Men,2008,1,United States
Marion Cotillard,Female,"Paris, France",NA,NA,33,9/30/1975,White,Straight,NA,Actor,The Passionate Life of Edith Piaf,2008,1,France
Danny Boyle,Male,"Manchester, United Kingdom",NA,NA,53,10/20/1956,White,Straight,Roman Catholic,Director,Slumdog Millionaire,2009,1,United Kingdom
Heath Ledger,Male,"Perth, Australia",NA,NA,30,4/4/1979,White,Straight,NA,Actor,The Dark Knight,2009,1,Australia
Kate Winslet,Female,"Reading, United Kingdom",NA,NA,34,10/5/1975,White,Straight,NA,Actor,The Reader,2009,1,United Kingdom
Penelope Cruz,Female,"Madrid, Spain",NA,NA,35,4/28/1974,Hispanic,Straight,Buddhist,Actor,Vicky Cristina Barcelona,2009,1,Spain
Sean Penn,Male,"Burbank, California, United States","Burbank, CA",California,49,8/17/1960,White,Straight,Roman Catholic,Actor,Milk,2009,2,United States
Christoph Waltz,Male,"Vienna, Austria",NA,NA,54,10/4/1956,White,Straight,NA,Actor,Inglourious Basterds,2010,2,Austria
Jeff Bridges,Male,"Los Angeles, California, United States","Los Angeles, CA",California,61,12/4/1949,White,Straight,Lutheran,Actor,Crazy Heart,2010,1,United States
Kathryn Bigelow,Female,"San Carlos, California, United States","San Carlos, CA",California,58,11/27/1951,White,Straight,NA,Director,The Hurt Locker,2010,1,United States
Mo'Nique,Female,"Woodlawn, Maryland, United States","Woodlawn, MD",Maryland,43,12/11/1967,Black,Straight,NA,Actor,Precious,2010,1,United States
Sandra Bullock,Female,"Arlington, United States","Arlington, VA",Virginia,46,7/26/1964,White,Straight,NA,Actor,The Blind Side,2010,1,United States
Christian Bale,Male,"Haverfordwest, United Kingdom",NA,NA,37,1/30/1974,White,Straight,NA,Actor,The Fighter,2011,1,United Kingdom
Colin Firth,Male,"Grayshott, United Kingdom",NA,NA,51,9/10/1960,White,Straight,NA,Actor,The King's Speech,2011,1,United Kingdom
Melissa Leo,Female,"New York City, United States","New York City, NY",New York,51,9/14/1960,White,Straight,NA,Actor,The Fighter,2011,1,United States
Natalie Portman,Female,"Jerusalem, Israel",NA,NA,30,6/9/1981,White,Straight,Jewish,Actor,Black Swan,2011,1,Israel
Tom Hooper,Male,"London, United Kingdom",NA,NA,39,10/5/1972,White,NA,NA,Director,The King's Speech,2011,1,United Kingdom
Christopher Plummer,Male,"Toronto, Canada",NA,NA,83,12/13/2029,White,Straight,NA,Actor,Beginning,2012,1,Canada
Jean Dujardin,Male,"Rueil-Malmaison, France",NA,NA,40,6/19/1972,White,Straight,NA,Actor,The Artist,2012,1,France
Meryl Streep,Female,"Summit, New Jersey, United States","Summit, NJ",New Jersey,34,6/22/1949,White,Straight,NA,Actor,The Iron Lady,2012,3,United States
Michel Hazanavicius,Male,"Paris, France",NA,NA,45,3/29/1967,White,Straight,Jewish,Director,The Artist,2012,1,France
Octavia Spencer,Female,"Montgomery, Alabama, United States","Montgomery, AL",Alabama,40,5/25/1972,Black,NA,NA,Actor,The Help,2012,1,United States
Ang Lee,Male,"Pingtung, Taiwan",NA,NA,59,10/23/1954,Asian,Straight,NA,Director,Life of Pi,2013,2,Taiwan
Anne Hathaway,Female,"Brooklyn, United States","New York City, NY",New York,31,11/12/1982,White,Straight,Christian,Actor,Les Misí©rables,2013,1,United States
Christoph Waltz,Male,"Vienna, Austria",NA,NA,57,10/4/1956,White,Straight,NA,Actor,Django Unchained,2013,2,Austria
Daniel Day-Lewis,Male,"London, United Kingdom",NA,NA,56,4/29/1957,White,Straight,NA,Actor,Lincoln,2013,3,United Kingdom
Jennifer Lawrence,Female,"Louisville, Kentucky, United States","Louisville, KY",Kentucky,23,8/15/1990,White,NA,NA,Actor,Silver Linings Playbook,2013,1,United States
Alfonso Cuaron,Male,"Mexico City, Mexico",NA,NA,52,11/28/1961,Hispanic,NA,NA,Director,Gravity,2014,1,Mexico
Cate Blanchett,Female,"Melbourne, Australia",NA,NA,45,5/14/1969,White,Straight,NA,Actor,Blue Jasmine,2014,2,Australia
Jared Leto,Male,"Bossier City, United States","Bossier City, LA",Louisiaba,43,12/26/1971,White,Straight,NA,Actor,Dallas Buyers Club,2014,1,United States
Lupita Nyong'o,Female,"Mexico City, Mexico",NA,NA,31,3/1/1983,Black,NA,NA,Actor,12 Years a Slave,2014,1,Mexico
Matthew McConaughey,Male,"Uvalde, Texas, United States","Uvalde, TX",Texas ,45,11/4/1969,White,Straight,NA,Actor,Dallas Buyers Club,2014,1,United States
Alejandro G. Inarritu,Male,"Mexico City, Mexico",NA,NA,51,8/15/1963,Hispanic,NA,NA,Director,Birdman,2015,1,Mexico
Eddie Redmayne,Male,"London, United Kingdom",NA,NA,33,1/6/1982,White,NA,NA,Actor,The Theory of Everything,2015,1,United Kingdom
Jonathan Kimbel Simmons,Male,"Detroit, Michigan, United States","Detroit, MI",Michigan,60,1/9/1955,White,NA,NA,Actor,Whiplash,2015,1,United States
Julianne Moore,Female,"Fort Bragg, North Carolina, United States","Fort Bragg, NC",North Carolina,54,12/3/1960,White,NA,NA,Actor,Still Alice,2015,1,United States
Patricia Arquette,Female,"Chicago, Illinois, United States","Chicago, IL",Illinois,46,4/8/1968,White,NA,NA,Actor,Boyhood,2015,1,United States
